States/Uts,Total vehicle count,2 wheeler,3 wheeler,4 wheeler,Goods vehicles,others,Grand total
Andaman & Nicobar Islands,145161,1,30,81,-,47,159
Arunachal Pradesh,242266,14,-,5,-,1,20
Assam,4578235,916,50765,164,7,17,51869
Bihar,10067557,6076,62929,127,11,34,69177
Chandigarh,731562,338,1482,196,-,41,2057
Chhattisgarh,6700786,7578,5720,137,1077,472,14984
Dadra and Nagar Haveli and Daman and Diu,302421,76,38,15,-,16,145
Delhi,12514373,19084,115753,3326,50,1711,139924
Goa,1053309,1670,29,369,13,41,2122
Gujarat,20154672,18130,1968,1534,26,705,22363
Haryana,10600301,8969,19519,207,120,110,28925
Himachal Pradesh,1926751,460,168,41,5,131,805
Jammu & Kashmir,1804894,1609,117,17,6,51,1800
Jharkhand,6329535,3559,9451,131,20,59,13220
Karnataka,26516682,65171,16489,6668,136,1405,89869
Kerala,15553695,13163,2274,2936,37,37,18447
Ladakh,35278,12,-,-,-,0,12
Maharashtra,30414113,61848,6667,6945,30,1559,77049
Manipur,479856,90,453,2,1,1,547
Meghalaya,445991,16,10,9,2,0,37
Mizoram,306662,9,1,2,2,4,18
Nagaland,329886,44,-,4,3,3,54
Odisha,9667066,12807,1948,152,16,44,14967
Puducherry,1199730,1628,36,73,8,21,1766
Punjab,12281051,7044,3440,124,34,24,10666
Rajasthan,16994999,27613,31525,962,25,27,60152
Sikkim,93440,1,-,11,1,9,22
Tamil Nadu,29382741,52359,4757,2427,1294,226,61063
Tripura,642823,70,7961,11,1,1,8044
Uttar Pradesh,39347563,20361,268384,379,59,391,289574
Uttarakhand,3279417,3015,22728,192,1,31,25967
West Bengal,13853707,3193,41335,683,28,139,45378
India,277976523,336924,675977,27930,3013,7358,1051202
